fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.68849,0.00903,0.01215,0.94113,0.00038,1.93091,0.59104,0.2,0.55149,0.01798,0.50797,0.30972,0.0,0.10741,0.37914,0.0,0.0,0.0,0.33894,0.65621,0.0,0.0
0.68528,0.00801,0.01304,0.81182,0.0003,2.02993,0.47078,0.19604,0.47635,0.01353,0.4904,0.30551,0.0,0.1104,0.39774,0.0,0.0,0.0,0.37641,0.62889,0.0,0.0
0.68989,0.0089,0.01006,0.79878,0.00032,2.51994,0.5221,0.2,0.60212,0.01281,0.45718,0.34635,0.0,0.08781,0.37914,0.0,0.0,0.0,0.3578,0.73595,0.0,0.0
0.69943,0.00906,0.01063,0.79878,0.0003,2.51994,0.51719,0.19909,0.63049,0.01285,0.44135,0.33737,0.0,0.08781,0.39523,0.0,0.0,0.0,0.36315,0.77095,0.0,0.0
0.68883,0.00906,0.01048,0.80384,0.0003,2.55035,0.51067,0.2,0.63465,0.01285,0.44135,0.33683,0.0,0.08759,0.40074,0.0,0.0,0.0,0.36322,0.76069,0.0,0.0
0.66724,0.00958,0.0113,0.94478,0.00024,2.51994,0.40236,0.16233,0.63049,0.01425,0.4069,0.32061,0.0,0.10649,0.38001,0.0,0.0,0.0,0.39263,0.8701,0.0,0.0
0.69217,0.0092,0.01,0.86463,0.00027,2.51994,0.43698,0.18587,0.54818,0.0143,0.42797,0.32626,0.0,0.0988,0.39523,0.0,0.0,0.0,0.37656,0.79741,0.0,0.0
0.63231,0.00906,0.01064,0.97142,0.0003,2.51994,0.55169,0.10503,0.718,0.01248,0.46955,0.31961,0.0,0.08883,0.39523,0.0,0.0,0.0,0.28374,0.77095,0.0,0.0
0.68572,0.00917,0.01042,0.82153,0.0003,2.66883,0.51719,0.19071,0.63049,0.01347,0.47009,0.33935,0.0,0.08563,0.39642,0.0,0.0,0.0,0.37101,0.75685,0.0,0.0
0.61876,0.00908,0.01047,0.98,0.00024,2.25265,0.56597,0.19909,0.41212,0.01029,0.5018,0.33737,0.0,0.08671,0.36912,0.0,0.0,0.0,0.34988,0.79932,0.0,0.0
0.69961,0.00906,0.01063,0.71513,0.00028,1.99789,0.51719,0.1894,0.52947,0.01118,0.41868,0.37999,0.0,0.08688,0.35433,0.0,0.0,0.0,0.36315,0.77095,0.0,0.0
0.67251,0.01006,0.01,0.67461,0.00032,1.99789,0.51719,0.15543,0.56894,0.01069,0.33581,0.40181,0.0,0.08688,0.52522,0.0,0.0,0.0,0.36038,0.77095,0.0,0.0
0.69004,0.00709,0.01,0.71513,0.00022,2.34288,0.51719,0.1906,0.50468,0.00925,0.32277,0.40311,0.0,0.08688,0.35433,0.0,0.0,0.0,0.33942,0.48966,0.0,0.0
0.68882,0.00835,0.0112,0.79878,0.0003,2.70355,0.56882,0.2,0.64685,0.01314,0.50603,0.33737,0.0,0.10175,0.39523,0.0,0.0,0.0,0.33696,0.68287,0.0,0.0
0.69591,0.00942,0.0118,0.79878,0.00029,2.46458,0.56775,0.19966,0.60728,0.0137,0.49348,0.33737,0.0,0.08781,0.39523,0.0,0.0,0.0,0.35621,0.77904,0.0,0.0
0.6826,0.00877,0.01,0.74487,0.00028,2.42558,0.53098,0.19862,0.67254,0.01272,0.45799,0.33827,0.0,0.08555,0.39305,0.0,0.0,0.0,0.35379,0.76193,0.0,0.0
0.68379,0.00968,0.01186,0.79878,0.00028,2.51994,0.58306,0.19907,0.56279,0.01285,0.40027,0.33737,0.0,0.08781,0.39523,0.0,0.0,0.0,0.48481,0.72742,0.0,0.0
0.68112,0.0085,0.01363,0.79878,0.00031,2.46458,0.56775,0.15981,0.82841,0.01387,0.50118,0.38924,0.0,0.08781,0.39523,0.0,0.0,0.0,0.41602,0.74787,0.0,0.0
0.68701,0.00991,0.01105,0.91007,0.00029,2.65202,0.51719,0.18846,0.63049,0.01285,0.43782,0.3219,0.0,0.09244,0.39568,0.0,0.0,0.0,0.37629,0.68827,0.0,0.0
0.68632,0.00906,0.01262,0.71513,0.0002,2.20325,0.34545,0.17596,0.49059,0.01118,0.53368,0.53302,0.0,0.08688,0.33898,0.0,0.0,0.0,0.31657,0.48463,0.0,0.0
0.58289,0.00881,0.01,0.98,0.00019,2.26904,0.34494,0.19984,0.72705,0.01368,0.4385,0.36538,0.0,0.10636,0.39523,0.0,0.0,0.0,0.36315,0.77095,0.0,0.0
0.69172,0.00899,0.01063,0.79878,0.0003,2.58031,0.49676,0.19909,0.64656,0.01316,0.43013,0.33737,0.0,0.09293,0.38481,0.0,0.0,0.0,0.35964,0.73442,0.0,0.0
0.69155,0.01321,0.01063,0.71115,0.00023,2.18965,0.45196,0.2,0.52947,0.0108,0.51246,0.5441,0.0,0.08688,0.30169,0.0,0.0,0.0,0.33562,0.77095,0.0,0.0
0.67216,0.00848,0.01062,0.7127,0.00025,2.08841,0.51719,0.17665,0.53609,0.01118,0.39973,0.38877,0.0,0.08688,0.36443,0.0,0.0,0.0,0.36031,0.80715,0.0,0.0
0.67832,0.00887,0.01,0.71513,0.00027,1.99789,0.52621,0.18235,0.51922,0.01044,0.45532,0.39581,0.0,0.09743,0.42304,0.0,0.0,0.0,0.36305,0.69519,0.0,0.0
0.68263,0.00894,0.01014,0.71513,0.00028,2.07685,0.51946,0.1866,0.53955,0.011,0.41868,0.38953,0.0,0.08688,0.34559,0.0,0.0,0.0,0.35079,0.76868,0.0,0.0
0.69452,0.00942,0.01136,0.74666,0.00024,2.08294,0.52145,0.2,0.50859,0.01248,0.4558,0.33511,0.0,0.0785,0.31044,0.0,0.0,0.0,0.29808,0.67775,0.0,0.0
